ID,CA,Blue,Green,Red,NIR2,NIR1,SWIR1,SWIR2
9655,0.029466604813933372,0.05403844267129898,0.09345664829015732,0.09605835378170013,0.26874005794525146,0.28785306215286255,0.25220152735710144,0.17433355748653412
9656,0.025016240775585175,0.049938105046749115,0.0830862894654274,0.07488125562667847,0.26136717200279236,0.2763673663139343,0.14847148954868317,0.08458428829908371
9657,0.037924788892269135,0.06267467141151428,0.08956299722194672,0.09738821536302567,0.20799630880355835,0.2173793613910675,0.2018536627292633,0.12513087689876556
9658,0.06140895560383797,0.09133479744195938,0.12263866513967514,0.17363198101520538,0.2373492419719696,0.2514880895614624,0.2916247248649597,0.24497994780540466
9659,0.026771605014801025,0.051272254437208176,0.07591111958026886,0.10641292482614517,0.20144420862197876,0.21993416547775269,0.262197881937027,0.1656409054994583
9660,0.017944563180208206,0.03242240101099014,0.047691475600004196,0.02962489426136017,0.27721646428108215,0.29629114270210266,0.10953949391841888,0.04139004647731781
9661,0.015896493569016457,0.040267787873744965,0.06377854943275452,0.0831151232123375,0.13235995173454285,0.1399441957473755,0.1825607866048813,0.15558046102523804
9662,0.12758001685142517,0.1542017012834549,0.19358862936496735,0.30494606494903564,0.3512149155139923,0.36785319447517395,0.49316927790641785,0.44486546516418457
9663,0.011681939475238323,0.03772838041186333,0.07256297022104263,0.08208028227090836,0.2292024940252304,0.24753588438034058,0.2529749274253845,0.18925267457962036
9664,0.018303055316209793,0.03137180581688881,0.03662486374378204,0.04474308714270592,0.04886534810066223,0.050149716436862946,0.07879934459924698,0.06886153668165207
9665,0.019803281873464584,0.03944811224937439,0.061688221991062164,0.08261743187904358,0.17950430512428284,0.19475801289081573,0.2108498215675354,0.1266757696866989
9666,0.021664123982191086,0.04037982597947121,0.05732301250100136,0.03519660606980324,0.19508935511112213,0.19970636069774628,0.09793172776699066,0.0448320135474205
9667,0.023945186287164688,0.044704560190439224,0.06068049371242523,0.04764328896999359,0.26617395877838135,0.28613153100013733,0.1467040628194809,0.06261084228754044
9668,0.12897124886512756,0.1598179042339325,0.17281198501586914,0.1899292767047882,0.18211808800697327,0.19021078944206238,0.04969235509634018,0.04196184501051903
9669,0.21896108984947205,0.271904855966568,0.40712642669677734,0.5914961695671082,0.6512182950973511,0.6665155291557312,0.7434788942337036,0.7044221758842468
9670,0.03781173750758171,0.07616974413394928,0.11094997823238373,0.14626164734363556,0.20645654201507568,0.21829988062381744,0.2375732660293579,0.19640105962753296
9671,0.02765902690589428,0.04593046009540558,0.06592424213886261,0.08778814226388931,0.13829755783081055,0.14586880803108215,0.2176947295665741,0.18105103075504303
9672,0.03242478519678116,0.05258140340447426,0.08207206428050995,0.1506805270910263,0.20629973709583282,0.21503375470638275,0.28121402859687805,0.2806648015975952
9673,0.06303024291992188,0.08705590665340424,0.10998524725437164,0.11261556297540665,0.11219426989555359,0.1154429093003273,0.0713331550359726,0.03455234318971634
9674,0.04324662685394287,0.052446428686380386,0.084108866751194,0.0560719296336174,0.3399106562137604,0.35526689887046814,0.1708482801914215,0.08715023100376129
9675,0.10882928967475891,0.1475655734539032,0.19461748003959656,0.2744477689266205,0.32844632863998413,0.34750717878341675,0.4071907699108124,0.3568716049194336
9676,0.5373410582542419,0.6298071146011353,0.6861789226531982,0.7363228797912598,0.7424722909927368,0.7555351257324219,0.1335795372724533,0.13358694314956665
9677,0.00909352395683527,0.027264662086963654,0.047383494675159454,0.03708174452185631,0.28113436698913574,0.29740196466445923,0.14879797399044037,0.06739378720521927
9678,0.018173879012465477,0.04594222456216812,0.07104049623012543,0.09545046836137772,0.17598949372768402,0.18876555562019348,0.21367570757865906,0.16807880997657776
9679,0.028172019869089127,0.053498342633247375,0.0775480791926384,0.1065819263458252,0.15309233963489532,0.16814608871936798,0.2119501829147339,0.17180480062961578
9680,0.04600829631090164,0.07311157137155533,0.11589866876602173,0.16043683886528015,0.3246691823005676,0.3439696729183197,0.3440606892108917,0.24735058844089508
9681,0.005266217980533838,0.037689220160245895,0.07403237372636795,0.07716159522533417,0.2634674906730652,0.28156009316444397,0.23497208952903748,0.12813089787960052
9682,0.031382594257593155,0.060180794447660446,0.08892345428466797,0.10798823088407516,0.1757817268371582,0.18667718768119812,0.21714045107364655,0.1943705677986145
9683,0.03565463051199913,0.05598607659339905,0.07493076473474503,0.08935610204935074,0.11337394267320633,0.1181752160191536,0.14177757501602173,0.11710337549448013
9684,0.06385757774114609,0.08697330206632614,0.12562376260757446,0.1469629555940628,0.2960445284843445,0.3117949962615967,0.3109545409679413,0.2250252664089203
9685,0.04100823774933815,0.06918929517269135,0.10240800678730011,0.13239793479442596,0.2742637097835541,0.2986060380935669,0.33412376046180725,0.2589345872402191
9686,0.014994780533015728,0.03195984289050102,0.054152607917785645,0.05771224573254585,0.18220268189907074,0.19978487491607666,0.17406076192855835,0.09537014365196228
9687,0.031196685507893562,0.06451676785945892,0.09844131767749786,0.13521626591682434,0.21576610207557678,0.2307988554239273,0.26699191331863403,0.19509509205818176
9688,0.03943649306893349,0.05755777657032013,0.0839395821094513,0.12287580221891403,0.15919609367847443,0.1688627004623413,0.23800790309906006,0.219185471534729
9689,0.03950173780322075,0.067437544465065,0.08861205726861954,0.08818650990724564,0.19055847823619843,0.20150354504585266,0.15705516934394836,0.10380986332893372
9690,0.04282597452402115,0.07234974950551987,0.10474051535129547,0.13133583962917328,0.18920592963695526,0.20071586966514587,0.2374866008758545,0.21688228845596313
9691,0.03897660970687866,0.052957683801651,0.06964217126369476,0.06660108268260956,0.2176322489976883,0.2330894023180008,0.207309290766716,0.11551680415868759
9692,0.012060347013175488,0.031099854037165642,0.054812271147966385,0.05168788880109787,0.19610510766506195,0.20281903445720673,0.08378229290246964,0.041002385318279266
9693,0.038069948554039,0.05402446165680885,0.08261001855134964,0.057325445115566254,0.276004433631897,0.29245424270629883,0.12619933485984802,0.05953986197710037
9694,0.04953125864267349,0.07098229229450226,0.090960294008255,0.1310214400291443,0.18028396368026733,0.20045870542526245,0.2721990942955017,0.23448364436626434
9695,0.008078026585280895,0.024562334641814232,0.047625236213207245,0.02633136324584484,0.34723591804504395,0.36676478385925293,0.13781721889972687,0.05275209993124008
9696,0.03638580068945885,0.05879972130060196,0.0862010270357132,0.12677514553070068,0.17902733385562897,0.19523166120052338,0.24806836247444153,0.2076176106929779
