ID,CA,Blue,Green,Red,NIR2,NIR1,SWIR1,SWIR2
3252,0.01906948909163475,0.03604399040341377,0.06397895514965057,0.07591895759105682,0.2261447012424469,0.2261447012424469,0.2257600724697113,0.1448868215084076
3253,0.08406173437833786,0.11518470197916031,0.19752895832061768,0.27110081911087036,0.30650976300239563,0.30650976300239563,0.43727442622184753,0.2915732264518738
3254,0.008853064849972725,0.022574391216039658,0.052614856511354446,0.055811721831560135,0.2460738718509674,0.2460738718509674,0.14278700947761536,0.08341279625892639
3255,0.06835746765136719,0.09309922158718109,0.12722669541835785,0.1673797070980072,0.2205474078655243,0.2205474078655243,0.23258407413959503,0.2084154188632965
3256,0.01742253638803959,0.03441038355231285,0.06300309300422668,0.06792580336332321,0.22489406168460846,0.22489406168460846,0.20403547585010529,0.1225854828953743
3257,0.045033544301986694,0.06878702342510223,0.10296351462602615,0.11604202538728714,0.18801851570606232,0.18801851570606232,0.17898747324943542,0.15854932367801666
3258,0.0056823138147592545,0.0216851644217968,0.050037652254104614,0.044908665120601654,0.25139179825782776,0.25139179825782776,0.15401367843151093,0.07506470382213593
3259,0.014006789773702621,0.034141022711992264,0.06251515448093414,0.06404656171798706,0.217905193567276,0.217905193567276,0.1583051085472107,0.10907571017742157
3260,0.041886650025844574,0.06730912625789642,0.11214130371809006,0.14078150689601898,0.24211964011192322,0.24211964011192322,0.3031308054924011,0.24267643690109253
3261,0.016558799892663956,0.02996274270117283,0.05599718913435936,0.06474048644304276,0.23020385205745697,0.23020385205745697,0.17197231948375702,0.11465610563755035
3262,0.15205822885036469,0.18640290200710297,0.31535589694976807,0.4490315914154053,0.5269613265991211,0.5269613265991211,0.6515778303146362,0.5998973846435547
3263,0.03604673594236374,0.05934329330921173,0.1105295866727829,0.11915417015552521,0.33576342463493347,0.33576342463493347,0.25954607129096985,0.17207631468772888
3264,0.01306282076984644,0.025574689731001854,0.052513789385557175,0.048480454832315445,0.22217951714992523,0.22217951714992523,0.15043887495994568,0.08728458732366562
3265,0.07983896881341934,0.10902140289545059,0.17448507249355316,0.21700702607631683,0.37496528029441833,0.37496528029441833,0.317307710647583,0.2419031858444214
3266,0.034044407308101654,0.05634274706244469,0.08972468227148056,0.11442191898822784,0.20988722145557404,0.20988722145557404,0.27792054414749146,0.25963181257247925
3267,0.06153594329953194,0.0909522995352745,0.14958174526691437,0.1707121878862381,0.35900935530662537,0.35900935530662537,0.353567898273468,0.26970577239990234
3268,0.009203719906508923,0.025335969403386116,0.047870270907878876,0.04124985262751579,0.17542587220668793,0.17542587220668793,0.11691675335168839,0.06265200674533844
3269,0.06718604266643524,0.0811924934387207,0.12604014575481415,0.18073302507400513,0.2562090754508972,0.2562090754508972,0.39362338185310364,0.284841924905777
3270,0.050580285489559174,0.07729323208332062,0.1212867721915245,0.1475151628255844,0.236623615026474,0.236623615026474,0.2644311487674713,0.21617449820041656
3271,0.01484135165810585,0.03398207202553749,0.06455708295106888,0.0695001482963562,0.2268877625465393,0.2268877625465393,0.20860910415649414,0.12543590366840363
3272,0.019361378625035286,0.04000110551714897,0.08202339708805084,0.098842091858387,0.29278117418289185,0.29278117418289185,0.2774938642978668,0.14903829991817474
3273,0.05245206877589226,0.07235120236873627,0.10530409216880798,0.10442086309194565,0.2608890235424042,0.2608890235424042,0.22625280916690826,0.16111290454864502
3274,0.02927217073738575,0.047464486211538315,0.08375155925750732,0.09574752300977707,0.27715712785720825,0.27715712785720825,0.25599631667137146,0.1599351316690445
3275,0.020461730659008026,0.0394698828458786,0.06208625063300133,0.06524164974689484,0.2192760705947876,0.2192760705947876,0.13592267036437988,0.07549945265054703
3276,0.022201456129550934,0.04557722061872482,0.08085837960243225,0.10161895304918289,0.15786784887313843,0.15786784887313843,0.19199171662330627,0.1721278429031372
3277,0.0782722756266594,0.10332268476486206,0.1536179929971695,0.19515171647071838,0.24078470468521118,0.24078470468521118,0.24805358052253723,0.20163628458976746
3278,0.029795026406645775,0.05234527960419655,0.08585494756698608,0.10918615758419037,0.19182609021663666,0.19182609021663666,0.2084893137216568,0.14798948168754578
3279,0.048742253333330154,0.0690220445394516,0.10000041127204895,0.06385829299688339,0.46066009998321533,0.46066009998321533,0.18166325986385345,0.08169970661401749
3280,0.011593813076615334,0.022073492407798767,0.030800629407167435,0.040026530623435974,0.04645370692014694,0.04645370692014694,0.06457019597291946,0.05287254601716995
3281,0.04988689720630646,0.07604023069143295,0.12806589901447296,0.170734241604805,0.21608997881412506,0.21608997881412506,0.278429239988327,0.25554460287094116
3282,0.061299242079257965,0.07075543701648712,0.10650081187486649,0.08309105038642883,0.4821537733078003,0.4821537733078003,0.26717409491539,0.15371254086494446
3283,0.2387654185295105,0.2698623538017273,0.30549561977386475,0.3270869255065918,0.38398343324661255,0.38398343324661255,0.13649128377437592,0.11509544402360916
3284,0.011860720813274384,0.030496567487716675,0.06499437242746353,0.08949050307273865,0.25927793979644775,0.25927793979644775,0.20457394421100616,0.15044088661670685
3285,0.0251010674983263,0.051615044474601746,0.0992676168680191,0.13755111396312714,0.33465704321861267,0.33465704321861267,0.34097135066986084,0.209129199385643
3286,0.02713203802704811,0.04213903471827507,0.08270284533500671,0.09527584165334702,0.1784297525882721,0.1784297525882721,0.11057206988334656,0.0726805031299591
3287,0.015272670425474644,0.03149610757827759,0.05076151713728905,0.05670827254652977,0.20584897696971893,0.20584897696971893,0.168925479054451,0.09740862250328064
3288,0.02108488604426384,0.03719501569867134,0.06432019174098969,0.08638307452201843,0.2014545500278473,0.2014545500278473,0.2175961285829544,0.13383591175079346
3289,0.017424436286091805,0.03580494597554207,0.06485844403505325,0.06935496628284454,0.24791960418224335,0.24791960418224335,0.18832089006900787,0.11243067681789398
3290,0.038025934249162674,0.06799665838479996,0.11815173923969269,0.1398988515138626,0.2921552360057831,0.2921552360057831,0.30639058351516724,0.2135341912508011
3291,0.20496653020381927,0.24372348189353943,0.3950989842414856,0.5576291680335999,0.6458724141120911,0.6458724141120911,0.734673798084259,0.6783527135848999
3292,0.5180895924568176,0.5644177198410034,0.6448315978050232,0.6851184964179993,0.690091073513031,0.690091073513031,0.10929443687200546,0.09458138048648834
3293,0.0666089653968811,0.08182629942893982,0.11449657380580902,0.15297840535640717,0.1813494712114334,0.1813494712114334,0.15701870620250702,0.1317419558763504
